Video Title,Channel Name,Published At,Description,Video URL,Video ID,Tags,View Count,Like Count,Comment Count,Duration
Master Data Analysis on Excel in Just 10 Minutes,Kenji Explains,2023-02-26T18:45:01Z,AD: Sign up to enroll for a 7-day free trial with Coursera now!,https://www.youtube.com/watch?v=_g5roKHj95o,_g5roKHj95o,"['data analysis in excel', 'excel data analysis', 'analysing data', 'data analysis', 'master data analysis', 'data analysis in 10 minutes', 'descriptive statistics excel', 'box and whisker excel', 'pivot tables excel', 'data analysis report excel', 'data transformation', 'removing duplicates', 'data cleaning excel', 'trim formula', 'xlookup', 'sumifs', 'beginner to pro in data analysis', 'learn data analysis on excel in 10 minutes', 'learn data analysis', 'data analysis fundamentals', 'data analytics on excel']",2250651,48772,573,PT11M32S
Excel for Data Analytics - Full Course for Beginners,Luke Barousse,2024-10-14T12:01:06Z,Course Problems & Certificate https://lukeb.co/excel Course Files* & Projects https://lukeb.co/excel_files *⚠️ Use ...,https://www.youtube.com/watch?v=pCJ15nGFgVg,pCJ15nGFgVg,"['business intelligence', 'data science', 'bi', 'computer science', 'data nerd', 'data analyst', 'data scientist', 'how to', 'data project', 'data analytics', 'portfolio project', 'sql', 'excel', 'python', 'power bi', 'tableau', 'data engineer', 'excel tutorial', 'excel course', 'excel tutorial for data analyst', 'excel tutorial for beginners']",131304,6210,284,PT10H59M43S
Excel Data Analysis Full Course Tutorial (7+ Hours),Learnit Training,2024-05-31T16:30:07Z,Excel Data Analysis Full Course Tutorial (7+ Hours) Get Ad-Free Training by becoming a member today!,https://www.youtube.com/watch?v=qrbf9DtR3_c,qrbf9DtR3_c,"['excel xlookup', 'excel password', 'excel convert', 'excel count', 'excel sort', 'excel subtotal', 'excel duplicate', 'excel autofill', 'excel function', 'excel freeze', 'excel group', 'excel template', 'excel print', 'excel table', 'excel formula', 'excel vlookup', 'learn excel', 'excel tips and tricks', 'excel tips', 'excel guide', 'how to use excel', 'free excel training', 'excel 2024', 'microsoft excel 2024', 'excel 365', 'microsoft excel 365', 'using excel', 'excel data', 'excel sheet', 'excel pivot table', 'excel vba']",768688,27085,405,PT7H11M45S
Data Analysis for BEGINNERS in Excel in 2024 | No Python Required,MyOnlineTrainingHub,2024-01-23T11:45:04Z,How to analyze data with no programming languages in 10 minutes. ‍   Improve your productivity in Excel with Power Query: ...,https://www.youtube.com/watch?v=wSFWJ0AF7SM,wSFWJ0AF7SM,"['mynda treacy', 'my online training hub', 'data analysis in excel', 'excel data analysis', 'analysing data', 'analyzing data', 'data analysis', 'master data analysis', 'data analysis in 10 minutes', 'data analysis in 15 minutes', 'data analysis for beginners', 'descroptive statistics excel', 'data analysis report excel', 'data analysis dashboard', 'data analysis dashboard excel', 'learn data analysis on excel in 10 minutes', 'how to analyze data in excel', 'data analysis on excel', 'how to analyze data']",88608,2548,260,PT13M40S
Beginner to Pro FREE Excel Data Analysis Course,Chandoo,2021-08-12T08:30:14Z,"You asked for it. Here is my free course to help you kick start your data analytics journey. In this comprehensive video, learn: 1) ...",https://www.youtube.com/watch?v=v2oNWja7M2E,v2oNWja7M2E,"['chandoo', 'chandoo.org', 'Excel', 'data analytics', 'data analysis using excel tutorial', 'data analysis in excel', 'free data analyst course', 'data analyst projects', 'complete data analysis course', 'Excel data analysis course', 'how to use excel for analyzing data', 'beginner data', 'beginner data analysis projects', 'beginner data analytics courses', 'beginner data science course', 'anomaly detection', 'exploratory data analysis', 'eda in excel', 'descriptive statistics in excel']",2091937,52085,1546,PT49M16S
This is how I ACTUALLY analyze data using Excel,Mo Chen,2024-06-26T14:00:06Z,https://mochen.info/ ⬅ Exclusive Community┋Ultimate Data Portfolio┋Ultimate Data Roadmap┋Ultimate Excel Projects┋Data ...,https://www.youtube.com/watch?v=7W95pylDH8M,7W95pylDH8M,[],323685,12202,222,PT24M5S
Excel Data Analytics Full Course | Essential Skills For Data Analysis In Excel | Simplilearn,Simplilearn,2021-02-08T15:30:01Z,Data Analyst Masters Program (Discount Code - YTBE15) ...,https://www.youtube.com/watch?v=OOWAk2aLEfk,OOWAk2aLEfk,"['data analytics course', 'data analytics in excel', 'data analytics in excel Full Course', 'data analytics in excel course', 'data analytics in excel for beginners', 'data analytics in excel tutorial', 'data analytics with excel', 'data analytics with excel course', 'excel data analysis', 'excel data analysis tutorial', 'excel for data analytics', 'how to use excel for data analytics', 'microsoft excel for data analysis', 'microsoft excel for data analytics', 'simplilearn', 'simplilearn data analytics']",1952518,36430,1154,PT4H11M47S
Data Analysis Essentials in Excel,Kenji Explains,2023-09-03T17:45:00Z,"Learn 3 essential excel skills for data analysis which are data cleaning, analysis, and visualization. Our Excel for Business ...",https://www.youtube.com/watch?v=GLneLGYZgnA,GLneLGYZgnA,"['data analysis excel', 'data essentials excel', 'data skills in excel', 'analyze data in excel', 'data analysis', 'analyze data', 'data cleaning excel', 'clean up data in excel', 'data visualization', 'data visualization in excel', 'box plot excel', 'power query', 'power query excel', 'scatter plot excel', 'conditional formatting', 'merge columns power query', 'pivot tables for data analysis', 'analyze data with pivot tables', 'excel ai', 'data visuals', 'formatting with power query', 'power query for data cleaning']",163337,4750,117,PT11M51S
SUMIF Excel Tutorial: Your Shortcut to Smarter Data Analysis 📈🚀 #excel #exceltips #youtubeshorts,InfoCrave,2024-11-26T06:08:04Z,"Unlock the power of the SUMIF function in Microsoft Excel! In this video, you'll learn how to sum up values based on specific ...",https://www.youtube.com/watch?v=WuiOmmWvmDs,WuiOmmWvmDs,"['sumif formula in excel', 'sumif', 'how to use sumif formula in excel', 'sumif formula', 'sumifs formula', 'sumif formula in excel in hindi', 'excel sumif formula', 'sumifs', 'excel formulas', 'sumif formula in excel example', 'sumifs formula in excel', 'sumif function', 'excel sumif', 'excel formula', 'sumif function in excel', 'sumif formula in hindi', 'how to use sumif in excel', 'how to use sumifs', 'sumif excel', 'sumif formula in excel with example', 'youtube shorts', 'how do you use sumif with multiple criteria?']",124,9,0,PT39S
How to use Analyze Data in Excel (AI Creates Pivot Tables and Charts),Leila Gharani,2023-02-16T10:00:09Z,Join 400000+ professionals in our courses here https://link.xelplus.com/yt-d-all-courses Data analysis in Microsoft Excel has ...,https://www.youtube.com/watch?v=AXNPR5q1y08,AXNPR5q1y08,"['XelplusVis', 'Leila Gharani', 'Advanced Excel tricks', 'Excel online course', 'Excel tips and tricks', 'Excel for analysts', 'Microsoft Excel tutorials', 'Microsoft Excel', 'Excel 2016', 'Excel 2013', 'Excel 2019', 'XelPlus', 'Microsoft 365', 'Excel 365', 'analyze data', 'ideas', 'excel AI feature', 'excel automatic pivot tables', 'excel automatic charts', 'excel data insights', 'how to quickly analyze data in excel', 'A.I. in excel', 'A.I', 'artificial intelligence excel', 'ai in excel']",316324,7159,274,PT8M16S
Data Analysis Project in Excel (3-Step Framework),Kenji Explains,2024-04-07T17:45:00Z,Make a Full Data Analysis Project in Excel! Take our Excel Course: ...,https://www.youtube.com/watch?v=aUMEx4in2iU,aUMEx4in2iU,"['excel project', 'full excel project', 'data analysis project excel', 'full data analysis project excel', 'excel data analysis', 'data analysis in excel', 'awesome data analysis project', 'realistic data analysis project in excel', 'excel data cleaning', 'excel data visualization', 'data visualization in excel', 'data cleaning in excel', 'remove duplicates excel', 'add slicers excel', 'excel pivot tables', 'excel descriptive statistics', 'full excel project data analysis', 'format text values excel', 'excel']",110009,3223,87,PT13M53S
Introduction to Data Analysis with Excel: 2-Hour Training Tutorial,Simon Sez IT,2023-03-07T16:00:09Z,Download the free course exercise files to follow along ...,https://www.youtube.com/watch?v=kghcAk7l6eA,kghcAk7l6eA,"['excel tutorial', 'excel', 'data analysis', 'excel data analysis', 'data analysis with excel', 'data analytics', 'excel data analytics', 'data analytics with excel', 'data analysis using excel', 'data analytics using excel', 'data analytics in excel', 'data analysis in excel', 'data analyst', 'excel formulas', 'excel 365', 'excel formulas and functions', 'excel functions', 'data cleaning', 'clean data in excel', 'clean excel data', 'remove duplicates', 'Removing Duplicate Data', 'data quality', 'data attributes']",533646,9608,204,PT1H53M40S
Top 10 Essential Excel Formulas for Analysts in 2024,Kenji Explains,2023-02-19T18:45:00Z,Learn the only Excel formulas you need as an Analyst in 2023 to get most things done. Get FREE Excel chart templates from ...,https://www.youtube.com/watch?v=MeBYShlqsak,MeBYShlqsak,"['excel formulas for analysts', 'excel formulas for business', 'excel formulas for finance', 'excel functions', 'excel functions for analysts', 'excel functions in 2023', 'excel formulas in 2023', 'excel for 2023', 'excel for data analysts', 'the only excel formulas you need', 'top 10 excel formulas', '10 essential excel formulas', 'must know excel formulas', 'improve excel with these formulas', 'excel functions for business analysts', 'excel functions for consultants', 'excel functions for finance']",915500,25915,301,PT13M39S
Ask Excel to Analyse Data in a Flash with Analyse Data,Analytics with Adam,2023-04-20T16:45:01Z,"Discover the game-changing potential of Excel's Analyze Data NLG feature! In this tutorial, we'll demonstrate how to leverage ...",https://www.youtube.com/watch?v=eFy0rQ2cMmQ,eFy0rQ2cMmQ,"['Excel', 'Analyze Data', 'NLG', 'natural language generation', 'automation', 'tutorial', 'data analysis', 'reporting', 'Excel tips', 'workflow', 'Microsoft Office', 'Excel 2023', 'productivity', 'AI in Excel']",67389,1717,30,PT50S
Excel AI - data analysis made easy,Kevin Stratvert,2023-01-05T08:00:12Z,"Learn Excel in just 2 hours: https://kevinstratvert.thinkific.com In this step-by-step tutorial, learn how to use Artificial Intelligence or ...",https://www.youtube.com/watch?v=b-cFv2DvEqE,b-cFv2DvEqE,"['kevin stratvert', 'artificial intelligence', 'ai', 'a.i.']",549372,8947,279,PT8M13S
Data Analysis In Excel- 1 | Excel Data Analysis Tutorial | Excel Tutorial For Beginners |Simplilearn,Simplilearn,2021-01-09T13:30:00Z,Data Analyst Masters Program (Discount Code - YTBE15) ...,https://www.youtube.com/watch?v=2xxMJEj4Oyg,2xxMJEj4Oyg,"['data analysis in excel', 'excel data analysis tutorial', 'excel tutorial for beginners', 'data analysis', 'data analytics', 'data analysis using excel', 'data analysis using excel tutorial', 'excel formulas and functions', 'excel formulas and functions shortcut keys', 'excel formulas and functions percentage', 'excel tutorial', 'microsoft excel tutorial', 'microsoft excel mathematical functions', 'microsoft excel logical functions', 'excel simplilearn']",121782,4941,24,PT21M2S
Full Project in Excel | Excel Tutorials for Beginners,Alex The Analyst,2022-03-22T10:30:15Z,Take my Full Excel for Data Analytics Course! https://www.analystbuilder.com/courses/excel-for-data-analytics In this video we ...,https://www.youtube.com/watch?v=opJgMj1IUrc,opJgMj1IUrc,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'excel tutorial', 'excel for data analysts', 'excel for data science', 'excel project', 'excel project for data analyst']",869727,18474,1076,PT40M50S
Is Excel Dead? Meet the ChatGPT Data Analyst.,Kevin Stratvert,2024-02-14T08:00:15Z,Learn Excel in just 2 hours: https://kevinstratvert.thinkific.com Sick of endless Excel formulas and clunky pivot tables? Tired of ...,https://www.youtube.com/watch?v=VCbY1qZVwvo,VCbY1qZVwvo,['kevin stratvert'],485749,10326,533,PT9M33S
How I use Excel as a Data Analyst 📊🤓,Luke Barousse,2022-12-01T14:00:23Z,Follow me on LinkedIn https://www.linkedin.com/in/luke-b/ OR on X/Twitter https://twitter.com/LukeBarousse Subscribe to ...,https://www.youtube.com/watch?v=qKMOVoW18sQ,qKMOVoW18sQ,"['data viz by luke', 'business intelligence', 'data science', 'bi', 'computer science', 'data nerd', 'data analyst', 'data scientist', 'how to', 'data project', 'data analytics', 'portfolio project', 'sql', 'excel', 'python', 'power bi', 'tableau', 'data engineer']",111445,6087,54,PT38S
Top Excel courses for Data Analysts 🧑‍🎓📊,Luke Barousse,2023-01-20T16:00:31Z,Excel Skills for Business https://lukeb.co/ExcelBusinessAnalyst Excel Basics for Data Analytics ...,https://www.youtube.com/watch?v=WrNvDniOUwo,WrNvDniOUwo,[],112755,8529,73,PT41S
