Video Title,Channel Name,Published At,Description,Video URL,Video ID,Tags,View Count,Like Count,Comment Count,Duration
Power BI Tutorial for Beginners,Kevin Stratvert,2023-06-06T07:00:07Z,"In this step-by-step tutorial, learn how to use Microsoft Power BI in just 10 minutes. Power BI is a powerful business analytics tool ...",https://www.youtube.com/watch?v=NNSHu0rkew8,NNSHu0rkew8,['kevin stratvert'],2311939,33730,600,PT12M32S
Power BI Tutorial For Beginners | Create Your First Dashboard Now (Practice Files included),Leila Gharani,2021-12-16T10:00:29Z,"Save BIG with our BLACK FRIDAY Deals https://link.xelplus.com/yt-bf-savings In just 20 minutes, you'll create your first Power ...",https://www.youtube.com/watch?v=c7LrqSxjJQQ,c7LrqSxjJQQ,"['XelplusVis', 'Leila Gharani', 'XelPlus', 'Microsoft 365', 'Powerbi', 'power bi', 'power bi dashboard', 'power bi training', 'power bi tutorial', 'power bi tutorial for beginners', 'power bi desktop', 'power bi for beginners', 'power bi reports', 'data analytics', 'learn power bi', 'business intelligence', 'microsoft', 'what is power bi']",1966846,32116,1008,PT23M3S
What is Power BI?,Microsoft Power BI,2018-06-26T01:02:06Z,Power BI is a suite of business analytics tools to analyze data and share insights. Power BI dashboards provide a 360-degree ...,https://www.youtube.com/watch?v=yKTSLffVGbk,yKTSLffVGbk,"['Power BI', 'PowerBI', 'Business Intelligence', 'Business Analytics', 'Analytics', 'data', 'business data', 'Microsoft', 'Data Visualization', 'Power BI Desktop', 'Data Analytics', 'Power BI Pro', 'Power BI Premium', 'Mobile BI']",2153191,8657,0,PT1M34S
What is Power BI?,codebasics,2023-11-11T12:30:06Z,"What is Power BI? In simple terms, Power BI is like Excel on steroids. What's your take on this? Share your thoughts in the ...",https://www.youtube.com/watch?v=DsUjC6j3xWE,DsUjC6j3xWE,"['what is power bi', 'power bi', 'powerbi', 'power bi tutorial', 'power bi project']",559819,16775,101,PT16S
Hands-On Power BI Tutorial 📊 Beginner to Pro [Full Course] 2023 Edition⚡,Pragmatic Works,2023-02-09T19:38:03Z,UPDATED 2024 VERSION AVAILABLE HERE https://youtu.be/Dk25lwdTKow Want more On-Demand Learning? - Start With ...,https://www.youtube.com/watch?v=77jIzgvCIYY,77jIzgvCIYY,"['power bi tutorial', 'power bi tutorial for beginners', 'power bi dashboard', 'power bi training', 'power bi', 'power bi reports', 'power bi visualization', 'learn power bi', 'power bi desktop', 'power bi for beginners', 'power bi full course', 'power bi beginner to pro', 'intro to power bi', 'power bi beginner', 'how to use power bi', 'power bi demo', 'introduction to power bi', 'dax basics', 'how to use microsoft power bi', 'powerbi', 'power bi desktop tutorial', 'power bi course', 'pbi', 'get started with power bi']",3030776,19363,561,PT3H2M18S
How to use Microsoft Power BI - Tutorial for Beginners,Kevin Stratvert,2020-08-04T10:00:13Z,"In this step-by-step tutorial video, learn how to get started using Microsoft Power BI. Power BI allows you to get insight from your ...",https://www.youtube.com/watch?v=TmhQCQr_DCA,TmhQCQr_DCA,"['kevin stratvert', 'power bi', 'powerbi', 'power', 'bi', 'business intelligence', 'intelligence', 'business', 'metrics', 'metric', 'microsoft', 'microsoft 365', '365', '360', 'data', 'analysis', 'visual', 'visualization', 'report', 'reports', 'dashboard', 'powerbi.com', 'source', 'training', 'help', 'guide', 'support', 'how to', 'sql', 'kusto', 'azure', 'transform', 'shape', 'models', 'model', 'data model']",4191683,78494,2394,PT27M53S
Your first 10 minutes of Power BI - A no-nonsense getting started tutorial for beginners,Chandoo,2022-09-20T08:00:02Z,"Power BI is the most popular and in-demand ""DATA"" skill these days. In this succinct and practical video, let me show you how to ...",https://www.youtube.com/watch?v=9tF1IrfLflg,9tF1IrfLflg,"['chandoo', 'chandoo.org', 'powerbi', 'power bi', 'power bi desktop', 'power bi tutorial', 'power bi tutorial for beginners', 'power bi for beginners', 'business intelligence', 'power bi desktop tutorial', 'learn power bi', 'what is power bi', 'power bi desktop tutorial for beginners', 'how to use Power BI desktop', 'getting started with powerbi', 'powerby', 'microsoft power by', 'quick power bi tutorial for noobs', 'power bi noob tutorial', 'power bi tutor']",637927,13458,424,PT11M15S
ULTIMATE Power BI Tutorial 📊 Beginner to Pro Course (2024),Pragmatic Works,2024-08-08T15:00:07Z,"Learn Power BI and go from Beginner to Pro with this hands-on tutorial. This comprehensive, end-to-end Power BI course is ...",https://www.youtube.com/watch?v=Dk25lwdTKow,Dk25lwdTKow,"['power bi tutorial', 'power bi tutorial for beginners', 'power bi dashboard', 'power bi training', 'power bi', 'power bi visualization', 'learn power bi', 'power bi desktop', 'power bi for beginners', 'power bi full course', 'intro to power bi', 'power bi demo', 'introduction to power bi', 'dax basics', 'how to use microsoft power bi', 'powerbi', 'power bi desktop tutorial', 'power bi course', 'pbi', 'get started with power bi', 'power bi dax', 'data modeling', 'data modeling in power bi', 'data analysis', 'power query']",210048,4865,163,PT3H40M48S
Power BI in Microsoft Fabric: unveiling the latest innovations | BRK202,Microsoft Events,2024-11-26T08:31:16Z,Join us as we unveil the latest announcements for Power BI in Microsoft Fabric. Explore how Copilot's advanced AI capabilities ...,https://www.youtube.com/watch?v=dXUgiJzcSUw,dXUgiJzcSUw,"['AI', 'Azure', 'BRK202', 'Breakout', 'BusinessIntelligence', 'Copilot', 'Data', 'Data-Curated', 'DataAnalytics', 'English (US)', 'Intermediate (200)', 'Kimberly Manis', 'Microsoft Fabric', 'Mohammad Ali', 'Power BI in Microsoft Fabric: unveiling the latest innovations | BRK202', 'PowerBI', 'Technical', 'Version v0', 'ignite', 'ignite 2024', 'm6x0', 'microsoft', 'microsoft ignite', 'microsoft ignite 2024', 'ms ignite', 'ms ignite 2024', 'msft ignite', 'msft ignite 2024']",569,21,0,PT44M22S
Master Power BI Essentials in Just 15 minutes,Kenji Explains,2023-03-05T18:45:01Z,Learn the essentials of Power BI in just 15 minutes. Get the Power BI course here: ...,https://www.youtube.com/watch?v=nkmHqs1I_z0,nkmHqs1I_z0,"['power bi', 'power business intelligence', 'power bi tutorial', 'learn power bi', 'master power bi', 'power BI', 'powerbi', 'powerBI', 'power bi dashboard', 'build a power BI dashboard', 'create a power bi dashboard from scratch', 'learn power query', 'power query editor', 'learn power query editor', 'power bi tricks', 'power bi for beginners', 'power bi from scratch', 'power bi class', 'power bi for business analytics', 'power bi service', 'share on power bi', 'collaborating on power bi', 'power bi for the web']",661001,13583,220,PT14M16S
