Video Title,Channel Name,Published At,Description,Video URL,Video ID,Tags,View Count,Like Count,Comment Count,Duration
Power BI vs Tableau - Best BI Tool,Luke Barousse,2021-02-25T18:00:01Z,Parallels 14-day Free Trial https://lukeb.co/ParallelsFreeTrial Learn Tableau https://lukeb.co/TableauDataCamp Learn ...,https://www.youtube.com/watch?v=axgNfM55dw8,axgNfM55dw8,"['data viz by luke', 'business intelligence', 'data science', 'bi', 'computer science', 'tableau', 'power bi', 'power query', 'excel dashboard', 'dashboards', 'bi solution']",386532,9109,488,PT18M2S
What is Tableau? | Tableau Overview | Tableau in 5 Mins | Tableau For Beginners | Simplilearn,Simplilearn,2021-06-01T15:30:02Z,Business Analyst Masters Program (Discount Code - YTBE15) ...,https://www.youtube.com/watch?v=NLCzpPRCc7U,NLCzpPRCc7U,"['advanced tableau tutorial', 'analytics', 'data visualization', 'introduction to tableau', 'learn tableau', 'oracle', 'saas', 'salesforce', 'simplilearn', 'tableau', 'tableau basics', 'tableau certification', 'tableau course', 'tableau dashboard', 'tableau data visualization', 'tableau desktop', 'tableau for beginners', 'tableau full course', 'tableau full tutorial', 'tableau training', 'tableau training for beginners', 'tableau training videos', 'tableau tutorial', 'tableau tutorial for beginners', 'visual', 'what is tableau']",206161,3388,240,PT5M11S
What is Tableau ?  Explained in under 10 mins!,Tableau Tim,2020-04-18T19:58:35Z,tableau #salesforce #data In this video I summarise the Tableau platform and how it fits into the Analytical flow in every business.,https://www.youtube.com/watch?v=7Jl-RwkzqQ4,7Jl-RwkzqQ4,"['tableau', 'salesforce', 'visual analytics', 'business analytics', 'data analytics tool', 'data analytics', 'analytics', 'analytics platform', 'data analysis', 'data visualization', 'business intelligence', 'tableau software', 'tableau overview', 'tableau server', 'tableau online', 'tableau prep', 'what is tableau', 'tableau basics', 'introduction to tableau', 'tableau training', 'tableau tutorial', 'visual\xa0analytics', 'sas visual analytics', 'big data', 'bi', 'oracle analytics', 'business dashboards', 'saas']",1104600,17853,327,PT10M27S
Tableau Basics for Beginners - Tableau in Two Minutes,Penguin Analytics,2018-09-17T12:30:45Z,"In this longer-format training video, we walk through everything you need to build your first dashboard, from connecting to data, ...",https://www.youtube.com/watch?v=jEgVto5QME8,jEgVto5QME8,"['tableau training for beginners', 'tableau tutorial for beginners', 'tableau tutorial for beginners step by step', 'tableau training', 'tableau dashboard tutorial', 'tableau tutorial', 'tableau in two minutes', 'tableau basics', 'tableau basics for beginners', 'tableau introduction', 'tableau dashboard', 'tableau dashboard examples', 'tableau dashboard tips', 'tableau dashboard training', 'tableau dashboard basics', 'Tableau dashboard tutorial video', 'tableau desktop', 'learn tableau', 'tableau demo']",1848024,21419,524,PT23M3S
Learn Tableau in 15 minutes and create your first report (FREE Sample Files),Chandoo,2023-03-14T07:00:18Z,"Do you want to learn Tableau? In this video, learn all the basics you need to start using Tableau straightaway. We are going to ...",https://www.youtube.com/watch?v=tNLp_JVipoQ,tNLp_JVipoQ,"['chandoo', 'chandoo.org', 'tableau tutorial', 'tableau dashboard', 'tableau tutorial for beginners', 'tableau training for beginners', 'tableau training', 'data analytics', 'learn tableau', 'tableau basics', 'tableau training videos', 'tableau desktop', 'tableau dashboard tutorial', 'tableau public', 'tableau tutorial for beginners step by step', 'tableau basics for beginners', 'tableau dashboard for beginners', 'how to create my first dashboard with tableau', 'tablu tutorial', 'tablaeu tutorial', 'tablue']",355330,10710,533,PT16M11S
How to Install Tableau and Create First Visualization | Tableau Tutorials for Beginners,Alex The Analyst,2021-09-21T11:30:01Z,Check out my Full Tableau Course Here: https://www.analystbuilder.com/courses/tableau-for-data-visualization This is our first of ...,https://www.youtube.com/watch?v=6xv1KvCMF1Q,6xv1KvCMF1Q,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'tableau tutorial', 'tableau tutorials', 'tableau tutorial for beginners', 'tableau tutorials for beginner', 'tableau tutorials for data analysts', 'tableau tutorials for data scientists', 'tableau basic', 'tableau basics', 'tableau projects']",757098,17225,410,PT17M4S
Tableau Ultimate Full Course (21 Hours) for Beginners - From Zero to HERO,Data with Baraa,2024-03-05T13:12:27Z,"Spent 2 years creating a 21-hour, high-quality course that covers everything about Tableau. And yes, everything is FREE!",https://www.youtube.com/watch?v=K3pXnbniUcM,K3pXnbniUcM,"['tableau training for beginners', 'tableau tutorial', 'tableau full course', 'tableau training', 'tableau course', 'tableau for beginners', 'tableau course for beginners', 'tableau tutorial for beginners', 'tableau', 'learn tableau', 'tableau full tutorial', 'free tableau course', 'tableau dashboard', 'tableau certification', 'what is tableau', 'tableau training videos', 'data visualization', 'tableau data visualization', 'advanced tableau tutorial', 'business intelligence', 'data with baraa', 'data science', 'bi', 'viz']",356531,11194,875,PT20H47M5S
Tableau is easier than you think. You can learn this in 1 hour.,Avery Smith | Data Analyst,2023-09-18T15:01:16Z,Tableau is easier than you think. You can learn this in 1 hour. #tableau #dataanalyst #dataanalytics #tech #datascience #dataviz ...,https://www.youtube.com/watch?v=xKBZqx7JdOo,xKBZqx7JdOo,[],28364,1008,8,PT54S
Design Stunning Dashboards in Tableau | Master Actions for Interactivity,Imarticus Learning,2024-11-26T03:30:23Z,"https://bit.ly/3Ff5Esb Dashboards are the heart of storytelling in Tableau, and mastering actions can take them to the next level!",https://www.youtube.com/watch?v=UsjrFf7SqzM,UsjrFf7SqzM,"['How to create dashboards in Tableau', 'Tableau dashboard design tutorial', 'Adding actions in Tableau dashboards', 'Creating interactive dashboards in Tableau', 'Beginner’s guide to Tableau dashboards', 'Using URL actions in Tableau', 'Designing dynamic dashboards in Tableau', 'Best practices for Tableau dashboards', 'Dashboard layout principles in Tableau']",47,0,0,PT1H19M38S
Tableau Tutorial for Beginners in 20 Minutes | Complete Tableau Training for Beginners | Simplilearn,Simplilearn,2022-09-28T12:30:13Z,Business Analyst Masters Program (Discount Code - YTBE15) ...,https://www.youtube.com/watch?v=3GT_TLIeCbE,3GT_TLIeCbE,"['tableau tutorial', 'tableau training for beginners', 'tableau', 'tableau training', 'introduction to tableau', 'tableau full course', 'tableau tutorial for beginners', 'why tableau', 'tableau developer interview questions', 'tableau interview experience', 'tableau for beginners', 'tableau interview questions & answers', 'tableau project', 'tableau interview questions', 'tableau basics', 'learn tableau', 'simplilearn']",267238,2100,12,PT20M23S
Tableau Basics for Beginners - Updated 2024! - Tableau in Two Minutes,Penguin Analytics,2024-06-06T23:41:59Z,"This video is aimed at beginners and covers the basics of Tableau, updated for 2024! This long form video covers everything you ...",https://www.youtube.com/watch?v=hvXCkdP5ZNQ,hvXCkdP5ZNQ,"['introduction to tableau', 'tableau training for beginners', 'tableau', 'tablueau in two minutes', 'tableau basics for beginners', 'tableau tutorial', 'tableau tutorial for beginners', 'tableau dashboard basics', 'build a tableau dashboard', 'tableau data visualization']",16759,285,13,PT27M35S
Tableau for Data Science and Data Visualization - Crash Course Tutorial,freeCodeCamp.org,2019-01-29T17:38:12Z,"Learn to use Tableau to produce high quality, interactive data visualizations! Tableau can help you see and understand your data.",https://www.youtube.com/watch?v=TPMlZxRRaBQ,TPMlZxRRaBQ,"['tableau training for beginners', 'tableau tutorial', 'tableau dashboard', 'business intelligence tools', 'tableau training', 'data visualization tools', 'tableau desktop', 'tableau excel', 'tableau certification', 'tableau online', 'what is tableau', 'data vizualisation software', 'tableau reporting', 'business intelligence and analytics', 'tableau dashboard example', 'tableau example', 'tableau vizualisation', 'tableau course']",872718,12868,219,PT28M42S
Tableau Desktop Crash Course | Learn Tableau from a Tableau Visionary,Tableau Tim,2023-01-12T20:34:41Z,"Join Tim Ngwena, a Tableau Visionary and experienced instructor, for a crash course on Tableau Desktop. With a background in ...",https://www.youtube.com/watch?v=-Aj8IlC0IEA,-Aj8IlC0IEA,"['tableau', 'desktop', 'salesforce', 'tableau prep', 'tableau online', 'tableau prep builder', 'tableautim', 'Tableau Crash Course', 'Tableau Tutorial', 'Business analytics', 'Dashboards', 'tableau crash course', 'tableau public', 'tableau dashboard', 'tableau desktop', 'tableau cloud', 'tableau license types', 'tableau installation', 'tableau interface', 'tableau charts', 'tableau tips and tricks', 'tableau quirks', 'tableau10', 'tableau course', 'tableau platform', 'tableau analytics', 'data analysis', 'analytics workflows']",219661,3683,185,PT3H44M8S
Tableau Tutorial for Beginners | Create Your First Dashboard,Andy Kriebel,2023-06-20T10:30:24Z,"Learn how to use Tableau and created impressive dashboards. Tableau is easy to use, but it can seem quite complex and ...",https://www.youtube.com/watch?v=X5Fl8_zjt0U,X5Fl8_zjt0U,"['tableau', 'tutorial']",42045,1239,59,PT12M54S
#Tableau - Butterfly Chart,Andy Kriebel,2022-11-20T13:27:20Z,,https://www.youtube.com/watch?v=4cTbsywJvWw,4cTbsywJvWw,[],55913,2695,25,PT1M
🔥 What Is Tableau ? | Tableau Explained |Tableau for Beginners #Shorts #simplilearn,Simplilearn,2024-06-18T13:39:34Z,"this video on What Is Tableau ?, we dive into the world of Tableau, a leading Business Intelligence tool used by analysts ...",https://www.youtube.com/watch?v=KBxuYD8YBRw,KBxuYD8YBRw,"['what is tableau', 'introduction to tableau', 'tableau introduction tutorial', 'tableau introduction', 'tableau projects', 'tableau introduction training', 'tableau explained', 'tableau basics', 'tableau', 'tableau for beginners', 'learn tableau', 'tableau tutorial', 'tableau overview', 'tableau project portfolio', 'tableau training for beginners', 'tableau projects for practice', 'tableau course', 'tableau tutorial for beginners', 'data visualization tools', 'shorts', 'yt shorts', 'simplilearn']",11523,400,0,PT51S
How I Use TABLEAU as a DATA ANALYST,Mo Chen,2023-10-29T13:30:17Z,Check out my data analyst roadmap ➡︎ https://datawithmo.com/ 1:1 mentoring and more ➡︎ https://topmate.io/datawithmo ...,https://www.youtube.com/watch?v=o_FycVa3FH4,o_FycVa3FH4,[],21282,1180,14,PT52S
Tableau Full Course - Learn Tableau in 6 Hours | Tableau Training for Beginners | Edureka,edureka!,2019-07-21T08:33:22Z,"Edureka Tableau Certification Training (Use Code ""YOUTUBE20""): https://www.edureka.co/tableau-certification-training ...",https://www.youtube.com/watch?v=aHaOIvR00So,aHaOIvR00So,"['yt:cc=on', 'tableau training for beginners', 'tableau tutorial', 'tableau full course', 'tableau training', 'tableau', 'learn tableau', 'tableau tutorial for beginners', 'tableau full tutorial', 'tableau dashboard', 'tableau desktop', 'tableau certification', 'what is tableau', 'tableau course', 'tableau training videos', 'data visualization', 'tableau data visualization', 'introduction to tableau', 'advanced tableau tutorial', 'tableau for beginners', 'tableau basics', 'tableau edureka', 'edureka tableau', 'edureka']",3529153,45603,2282,PT6H14S
Make an AWESOME Tableau Dashboard in Only 10 Minutes,Andy Kriebel,2023-05-23T07:24:06Z,Build this awesome interactive #Tableau dashboard in just 10 minutes. ⏬ DOWNLOAD the data and starter and solution ...,https://www.youtube.com/watch?v=6oFTdbrugUs,6oFTdbrugUs,"['tableau', 'tutorial']",268627,6793,275,PT11M31S
